UF;Leitos;
CE;23;
CE;17;
CE;630;
BA;258;
BA;90;
BA;68;
CE;21;
CE;50;
PE;40;
AL;28;
MA;54;
AL;21;
CE;30;
PE;45;
AL;12;
BA;148;
AL;16;
PB;29;
PE;22;
PE;799;
PB;125;
BA;392;
CE;22;
CE;15;
BA;73;
CE;50;
RN;98;
CE;58;
MA;36;
BA;384;
PB;36;
PE;400;
PB;78;
PE;60;
BA;52;
PE;150;
PB;32;
AL;11;
CE;8;
PE;38;
PE;9;
AL;40;
MA;120;
RN;44;
CE;10;
AL;40;
AL;87;
PE;25;
CE;50;
AL;25;
BA;34;
BA;30;
CE;36;
CE;56;
CE;426;
BA;126;
AL;107;
BA;100;
PB;72;
BA;120;
BA;60;
PE;36;
CE;62;
PB;12;
PE;104;
AL;72;
PE;24;
CE;21;
CE;39;
BA;60;
CE;49;
AL;90;
CE;75;
CE;29;
MA;10;
CE;30;
AL;42;
PE;70;
CE;80;
PE;77;
PE;22;
BA;405;
PE;392;
PI;160;
RN;312;
MA;84;
BA;50;
PB;35;
PB;207;
BA;470;
AL;149;
RN;896;
PB;51;
PB;33;
SE;40;
PE;699;
MA;24;
CE;37;
CE;18;
BA;173;
CE;39;
MA;42;
PE;20;
MA;35;
BA;50;
CE;40;
AL;24;
PB;125;
RN;34;
CE;21;
BA;90;
AL;40;
AL;32;
PE;35;
BA;235;
CE;60;
PE;592;
CE;94;
BA;56;
BA;26;
AL;25;
BA;94;
PE;60;
PE;75;
PE;218;
PI;130;
RN;595;
MA;160;
CE;24;
CE;64;
PB;30;
CE;32;
AL;80;
CE;26;
BA;300;
RN;25;
BA;80;
CE;13;
CE;23;
CE;58;
AL;18;
PB;35;
BA;300;
CE;72;
RN;63;
CE;100;
CE;55;
AL;89;
PB;18;
BA;74;
CE;54;
PE;22;
AL;19;
CE;68;
PE;208;
BA;50;
BA;235;
BA;573;
BA;80;
PE;13;
CE;29;
GO;96;
GO;301;
MT;80;
MT;136;
MS;178;
MA;77;
CE;25;
MA;50;
PE;53;
BA;64;
PE;19;
MA;26;
BA;120;
CE;324;
AL;103;
PE;400;
MA;48;
PB;100;
BA;159;
PB;40;
PE;350;
CE;112;
AL;203;
PE;94;
CE;26;
BA;12;
AL;50;
BA;32;
RN;120;
CE;180;
SE;72;
RN;76;
AL;36;
BA;32;
PB;38;
AL;39;
CE;40;
MA;596;
MT;190;
MS;110;
GO;171;
MS;58;
GO;38;
MT;67;
MS;58;
GO;40;
BA;157;
PE;88;
PB;100;
BA;146;
PE;52;
CE;12;
CE;361;
MT;102;
MS;168;
GO;70;
GO;128;
MS;110;
GO;303;
MT;190;
GO;35;
MT;35;
GO;10;
MS;30;
MT;12;
GO;122;
GO;25;
PB;178;
RN;42;
PE;350;
SE;121;
PB;75;
CE;26;
PB;188;
CE;48;
PB;99;
CE;51;
BA;133;
BA;927;
BA;39;
BA;42;
SE;230;
CE;660;
BA;60;
BA;70;
SE;240;
PE;74;
GO;51;
