UF;Leitos;
SP;93;
ES;74;
MG;30;
SP;144;
MG;339;
RJ;162;
SP;276;
RJ;52;
RJ;50;
RJ;110;
RJ;420;
MG;330;
RJ;22;
MG;35;
SP;130;
SP;87;
SP;333;
RJ;40;
MG;200;
SP;38;
SP;45;
BA;10;
SP;31;
BA;80;
MG;20;
PE;15;
PR;55;
MG;40;
RJ;90;
RJ;18;
GO;20;
PA;40;
GO;17;
CE;72;
RJ;39;
SP;122;
SP;150;
SP;80;
RJ;15;
RJ;52;
SP;110;
SP;6;
GO;18;
CE;11;
ES;90;
RJ;8;
RJ;11;
ES;25;
PA;18;
MG;105;
RJ;548;
SP;159;
RJ;446;
MG;80;
MG;21;
SP;512;
MT;30;
MG;27;
MS;30;
BA;40;
MG;44;
SC;230;
SC;40;
RJ;67;
MG;100;
RJ;158;
SP;29;
RJ;44;
SP;259;
RJ;314;
RJ;100;
SP;112;
RJ;140;
MG;65;
MG;84;
MG;27;
MG;42;
PR;54;
ES;182;
DF;20;
PR;50;
PR;60;
MT;14;
BA;18;
SC;62;
PR;52;
RJ;18;
CE;70;
RS;167;
MS;90;
SC;130;
SP;434;
SP;20;
RJ;230;
RJ;76;
SP;989;
RJ;271;
SP;150;
MG;111;
RJ;48;
SP;212;
SP;164;
SP;50;
MG;70;
MG;88;
RJ;52;
RJ;42;
RJ;150;
SP;73;
SP;74;
RJ;384;
RJ;40;
AM;34;
BA;87;
SP;46;
BA;310;
RJ;50;
RJ;6;
SC;79;
SP;298;
SP;319;
MG;525;
RJ;50;
RJ;34;
SP;60;
MG;60;
RJ;46;
RJ;52;
SC;47;
RJ;112;
RS;125;
GO;48;
SP;70;
AP;90;
MG;14;
PR;60;
BA;80;
GO;29;
ES;40;
PE;33;
RJ;282;
RJ;45;
SP;70;
SP;184;
RJ;140;
SP;195;
ES;180;
RS;150;
GO;60;
SC;300;
GO;12;
GO;24;
AL;400;
PR;73;
SP;46;
RJ;50;
ES;61;
MG;100;
SP;260;
RJ;16;
SP;300;
SP;45;
SP;15;
SP;166;
RJ;40;
RJ;40;
MG;137;
SP;114;
SP;35;
SP;165;
MG;500;
SP;12;
SP;1652;
MG;13;
ES;34;
SC;62;
MG;36;
CE;48;
RJ;96;
PA;226;
RJ;30;
SP;50;
GO;29;
SC;148;
SP;54;
MA;56;
GO;21;
MS;30;
GO;43;
SP;72;
SP;70;
RJ;60;
RJ;16;
ES;76;
CE;11;
RJ;52;
SP;37;
SP;50;
MG;213;
SP;234;
SP;70;
SP;26;
MG;56;
SC;77;
SC;58;
SC;30;
SP;90;
SC;72;
SC;200;
GO;16;
SP;33;
RJ;147;
MG;363;
RJ;80;
RJ;72;
SP;339;
RJ;52;
RJ;50;
GO;135;
RJ;32;
ES;20;
GO;22;
SP;30;
SP;32;
MG;144;
SP;38;
SP;260;
SP;218;
MG;55;
MG;50;
MG;36;
PR;408;
SC;64;
RS;36;
SP;30;
AL;26;
SC;122;
MA;20;
RS;90;
SC;20;
PR;55;
SE;43;
RS;18;
BA;15;
SP;110;
RJ;120;
RJ;50;
GO;97;
GO;52;
RJ;20;
RJ;52;
SP;120;
SP;32;
ES;16;
RJ;63;
MG;90;
RJ;60;
RJ;403;
RJ;50;
RJ;324;
RJ;19;
SP;350;
SP;80;
RJ;40;
MG;40;
MG;224;
SP;52;
SP;104;
RJ;260;
SP;192;
SP;51;
RJ;65;
SC;10;
RJ;13;
MT;15;
RJ;42;
RJ;55;
PE;55;
PE;190;
RS;25;
RS;170;
RJ;21;
ES;90;
RJ;6;
GO;23;
RJ;17;
GO;30;
GO;18;
GO;10;
GO;27;
PB;269;
CE;80;
AC;180;
SP;282;
MG;40;
SP;105;
MG;12;
MG;52;
SP;40;
RJ;1196;
PA;62;
GO;37;
RN;327;
RJ;26;
PR;60;
RJ;35;
GO;30;
SP;453;
RJ;23;
RJ;52;
CE;77;
RJ;50;
GO;230;
SP;134;
BA;40;
BA;99;
BA;35;
BA;102;
ES;115;
SP;12;
RJ;32;
RJ;324;
RJ;18;
SP;110;
RJ;30;
MG;31;
SP;70;
SP;62;
GO;33;
SP;1;
RJ;50;
MA;44;
SP;80;
SP;27;
BA;55;
MG;6;
RJ;35;
PA;82;
SP;10;
RN;460;
PB;28;
AC;45;
AM;35;
AM;36;
PA;96;
AP;30;
PA;60;
AC;90;
MG;51;
CE;51;
PE;49;
RJ;25;
RJ;89;
BA;120;
SP;140;
RJ;334;
MG;90;
ES;42;
RJ;43;
SP;43;
SP;31;
CE;14;
GO;127;
GO;64;
GO;16;
GO;17;
AP;42;
TO;139;
SP;30;
SC;152;
SP;63;
MG;15;
SP;26;
ES;6;
RJ;50;
MG;30;
RJ;56;
MG;6;
SP;60;
RJ;49;
BA;46;
SC;114;
RJ;24;
RJ;4;
MG;14;
RJ;11;
AM;36;
MG;18;
PI;36;
RO;28;
AM;24;
AC;310;
AC;52;
AC;24;
TO;64;
TO;50;
MG;130;
RJ;48;
ES;87;
RJ;169;
SP;165;
MG;220;
SP;226;
GO;47;
GO;319;
GO;14;
GO;42;
GO;174;
GO;19;
SP;10;
BA;14;
BA;63;
MG;132;
SP;250;
CE;20;
SP;62;
PA;724;
AC;240;
RO;22;
AM;68;
AC;85;
AM;54;
PA;24;
GO;14;
RJ;35;
RN;32;
MA;20;
SC;75;
CE;20;
CE;82;
MG;227;
SC;25;
PE;30;
RS;164;
SP;11;
SP;40;
MG;20;
ES;103;
RJ;54;
SP;51;
SP;450;
RJ;60;
RJ;54;
PA;220;
RO;78;
AM;24;
PA;73;
AC;33;
AM;45;
AM;39;
PB;10;
PA;54;
AM;57;
AM;40;
AM;336;
TO;97;
AM;17;
MS;8;
AL;218;
GO;16;
AL;20;
RN;18;
RN;16;
RS;120;
CE;98;
RN;15;
MG;26;
AL;16;
MG;10;
RJ;278;
PA;40;
PA;67;
AC;75;
AC;58;
AC;44;
AM;22;
PA;121;
BA;12;
GO;10;
BA;30;
BA;26;
AL;32;
GO;16;
SP;72;
CE;50;
RJ;13;
PB;140;
RJ;60;
CE;26;
GO;85;
MG;27;
RJ;162;
MA;18;
SP;45;
RJ;249;
RN;25;
GO;12;
TO;42;
AP;112;
AC;46;
AM;26;
TO;112;
AM;93;
RO;112;
TO;124;
AM;170;
RR;22;
RO;115;
PA;22;
PA;110;
AC;44;
MG;104;
SP;23;
RJ;29;
MA;22;
SP;168;
BA;56;
AL;71;
AM;45;
AC;33;
AM;90;
AC;14;
RO;90;
RR;42;
PA;30;
AM;13;
SC;48;
GO;25;
MG;36;
RJ;9;
PR;43;
CE;30;
GO;60;
GO;72;
TO;30;
AM;264;
AM;264;
AM;414;
MA;123;
SP;172;
SP;13;
SP;11;
GO;40;
RS;26;
CE;238;
TO;92;
RR;2;
RO;262;
PA;84;
RO;120;
AC;120;
PA;84;
AM;47;
PA;65;
AC;154;
TO;65;
AM;54;
AM;30;
SP;49;
RN;60;
BA;40;
RN;22;
BA;22;
PB;160;
SC;48;
RO;45;
PA;70;
TO;135;
AP;72;
AP;113;
AM;75;
AC;238;
MG;240;
TO;52;
RJ;10;
MG;9;
AM;212;
BA;450;
PE;36;
AM;408;
TO;80;
AC;128;
AM;16;
PA;107;
PA;20;
AC;44;
MT;40;
RJ;5;
SP;74;
MT;58;
MT;19;
GO;60;
MA;69;
AM;18;
PA;53;
AM;43;
AM;48;
AM;35;
PA;36;
AP;67;
AM;48;
PA;30;
AM;14;
AM;42;
AC;164;
RO;50;
RO;32;
PI;120;
BA;20;
PB;63;
MG;10;
RJ;64;
SC;120;
MG;15;
AM;60;
AM;30;
RR;12;
AC;72;
AC;54;
PA;46;
PA;51;
RS;55;
BA;30;
MG;72;
CE;35;
GO;120;
MA;392;
PA;48;
ES;10;
SC;45;
RJ;50;
RJ;40;
PA;197;
RJ;60;
RN;60;
AM;34;
AC;28;
PA;50;
TO;65;
PA;50;
AM;38;
PA;39;
AM;52;
AM;26;
TO;75;
AM;27;
AC;26;
AM;66;
TO;130;
PA;148;
PA;103;
AM;182;
PA;251;
AC;76;
RO;60;
PA;90;
MG;20;
AM;37;
AL;42;
MG;27;
MA;12;
MG;58;
AL;18;
AL;122;
RS;110;
MT;42;
MG;60;
MA;26;
BA;40;
MT;31;
AM;24;
PA;193;
AM;24;
AC;45;
PA;50;
AC;80;
AM;23;
AL;6;
AL;21;
MG;16;
RJ;60;
RS;32;
RS;10;
BA;40;
PA;133;
RO;36;
AM;24;
AC;16;
TO;20;
RR;60;
AC;72;
BA;28;
MG;50;
RN;70;
MG;44;
SC;190;
BA;130;
RJ;48;
AM;24;
TO;60;
AM;48;
PA;26;
TO;112;
RO;44;
AM;258;
AC;23;
AC;44;
PA;81;
RO;350;
PA;42;
RO;84;
PA;208;
BA;50;
MT;20;
MA;190;
BA;24;
BA;33;
BA;270;
PR;82;
BA;24;
SP;192;
BA;1000;
MA;10;
GO;50;
SP;53;
AC;72;
TO;30;
RO;45;
PA;44;
PA;76;
PA;96;
PA;55;
AM;43;
TO;92;
AM;36;
PA;117;
AM;64;
AC;48;
AM;86;
TO;20;
AC;135;
AM;40;
PA;10;
AM;41;
AC;361;
BA;60;
MG;6;
BA;250;
MG;50;
SP;20;
MG;30;
MG;46;
AM;80;
AC;250;
TO;100;
PA;256;
AM;32;
AC;78;
AM;40;
MA;15;
MG;54;
BA;14;
BA;12;
RN;27;
MG;21;
PR;144;
PA;26;
PA;95;
AC;58;
PA;146;
AC;84;
AC;78;
AC;40;
AL;20;
MG;16;
BA;45;
MG;80;
PR;146;
GO;50;
PR;39;
GO;50;
AL;80;
MT;42;
AL;20;
PR;77;
PR;106;
SC;52;
GO;12;
GO;20;
GO;60;
GO;15;
GO;14;
PR;48;
MT;94;
TO;49;
AM;58;
TO;282;
AM;44;
AM;33;
RO;132;
AM;131;
PA;50;
TO;30;
AC;48;
AC;130;
RR;12;
AC;61;
AC;120;
GO;20;
MG;21;
BA;43;
BA;46;
MA;30;
PA;145;
GO;45;
SP;144;
GO;135;
MG;25;
PB;34;
RN;18;
CE;160;
GO;25;
SC;150;
RS;28;
SC;42;
SC;254;
RS;240;
RS;242;
PA;260;
AP;60;
PA;184;
PA;56;
RR;42;
PA;205;
PA;50;
ES;35;
PB;10;
BA;48;
GO;40;
GO;17;
PA;18;
RS;10;
GO;66;
GO;42;
SP;7;
BA;75;
MT;80;
GO;17;
RS;6;
AM;18;
AC;50;
AM;58;
AP;10;
PA;100;
PA;270;
AM;30;
AC;48;
AC;46;
AM;150;
AM;56;
AM;150;
PA;207;
TO;163;
PR;105;
PR;153;
PR;55;
RS;226;
RS;336;
RS;60;
RS;12;
GO;55;
RJ;20;
BA;48;
CE;290;
ES;20;
BA;16;
BA;49;
SC;3;
AM;36;
ES;44;
MG;48;
GO;76;
RO;46;
MG;48;
RO;112;
RO;141;
AM;75;
PA;85;
TO;95;
RO;280;
RO;37;
AM;36;
AM;48;
MS;28;
MA;163;
ES;67;
PR;284;
RJ;48;
RJ;171;
SC;25;
SP;308;
RS;74;
BA;32;
SC;13;
RJ;72;
BA;16;
SP;34;
MG;80;
PR;150;
PB;40;
AM;48;
RO;20;
AM;90;
PA;138;
AM;82;
AM;304;
AM;30;
PA;25;
RS;300;
PR;124;
SC;98;
RS;8;
PR;32;
SC;420;
PR;130;
SC;128;
SC;6;
BA;80;
CE;38;
AL;20;
MG;40;
RS;168;
RS;264;
PR;118;
SC;128;
PR;60;
RS;56;
PR;196;
GO;50;
SC;18;
SC;59;
MG;460;
GO;28;
SP;90;
MG;12;
PR;63;
PR;31;
SC;42;
SC;44;
RS;75;
SC;424;
PR;205;
RO;183;
PA;94;
PA;250;
PA;23;
CE;14;
SP;77;
PI;80;
AP;40;
PA;23;
SP;40;
SP;40;
MT;33;
PR;88;
BA;56;
PR;46;
PR;95;
SC;220;
SC;49;
SC;16;
PR;76;
RN;30;
MA;10;
MA;10;
PB;30;
PR;14;
PB;42;
RS;18;
SC;444;
RS;104;
SC;70;
SC;25;
PR;125;
PR;168;
PA;24;
CE;22;
TO;21;
SP;68;
SP;120;
AL;38;
TO;72;
SC;200;
SC;212;
PR;45;
RS;259;
SC;30;
RS;43;
RS;444;
SC;160;
RS;40;
RS;300;
SC;30;
PR;50;
RS;60;
RS;24;
GO;12;
SC;3;
RS;40;
SP;33;
MG;120;
MG;40;
BA;48;
RS;280;
SC;170;
PR;250;
PR;156;
PR;271;
SC;97;
RJ;20;
AM;20;
SP;49;
RS;80;
SP;67;
SP;350;
SC;169;
SC;506;
SC;364;
SC;128;
RS;42;
SC;60;
PR;137;
RS;23;
RS;85;
PR;236;
PR;146;
PR;14;
PR;212;
SP;261;
BA;50;
GO;19;
MT;28;
SP;276;
SP;54;
MG;23;
SC;108;
SP;180;
TO;37;
TO;22;
TO;40;
PB;12;
SP;100;
PR;175;
RS;96;
PR;544;
PR;200;
RS;230;
RS;53;
PR;240;
RS;144;
SC;130;
PR;150;
PR;108;
SC;115;
SC;200;
RS;50;
RS;168;
SC;58;
RS;120;
RS;98;
SC;18;
TO;73;
SC;8;
TO;55;
PR;48;
GO;9;
MG;24;
MG;37;
MG;26;
SP;83;
SP;90;
RS;140;
RJ;5;
TO;32;
RN;43;
SC;1300;
PR;40;
RS;24;
RS;110;
PR;86;
RS;300;
SC;50;
PR;100;
RS;250;
SC;120;
RS;172;
RS;45;
SC;141;
SC;500;
MG;36;
RS;20;
SP;300;
MG;84;
MG;24;
SC;24;
MG;48;
PR;209;
PR;68;
SC;207;
SC;140;
RS;192;
PR;12;
RS;10;
PE;100;
SP;15;
SP;16;
SP;19;
SP;180;
SP;38;
SC;230;
RS;180;
RS;190;
SC;276;
SC;190;
PR;58;
SC;240;
GO;27;
MG;43;
CE;16;
SP;25;
SP;23;
BA;50;
SP;15;
MG;62;
RN;150;
SP;78;
RO;11;
RJ;32;
CE;37;
RS;90;
PR;260;
PR;168;
RS;340;
SC;321;
RS;300;
PR;80;
PR;204;
SC;130;
SC;264;
SC;283;
SC;339;
SC;162;
PR;42;
RS;128;
SC;198;
SC;23;
SC;56;
SC;29;
RS;49;
SP;70;
SP;39;
CE;21;
SC;14;
RJ;50;
RN;150;
MT;35;
RS;35;
SC;54;
PR;60;
PR;86;
RS;252;
RS;354;
SC;56;
BA;95;
SP;166;
BA;40;
SP;120;
SP;7;
SP;29;
SP;58;
PR;112;
PR;120;
PR;69;
PR;109;
PR;71;
SC;30;
SC;108;
MG;50;
RJ;25;
RS;24;
RS;18;
RN;29;
MT;43;
RS;10;
SC;32;
RS;87;
RS;250;
SC;96;
SC;234;
PR;172;
SC;252;
SP;75;
BA;9;
SP;17;
SP;80;
SP;42;
RJ;27;
SC;38;
RS;200;
RS;188;
PR;914;
SC;60;
SC;96;
RS;93;
PR;133;
RS;70;
PR;569;
PR;130;
PR;134;
RS;90;
ES;220;
RS;22;
SP;28;
PE;20;
AL;34;
SP;40;
SP;19;
SP;24;
RJ;75;
SP;58;
RN;174;
PR;33;
CE;14;
PE;26;
SC;24;
RS;80;
RS;29;
RS;65;
RS;106;
RS;100;
PR;145;
RS;115;
PR;73;
PR;223;
PR;205;
RS;56;
RS;101;
RS;50;
SP;248;
RS;75;
SP;26;
PB;108;
GO;52;
BA;10;
PA;18;
PR;297;
RS;30;
RS;70;
SC;126;
RS;129;
SC;257;
RS;26;
RS;70;
SC;85;
SC;20;
SC;30;
PR;150;
PR;220;
PR;25;
MG;30;
SP;44;
AL;17;
PE;29;
RJ;45;
RS;8;
SC;190;
SP;126;
SP;44;
MA;10;
CE;22;
RS;36;
SP;150;
SP;60;
RS;26;
SC;33;
RS;72;
PR;710;
PR;91;
PR;344;
RS;426;
RS;38;
RS;315;
RS;29;
RS;52;
RS;60;
RS;58;
SC;23;
BA;31;
MG;36;
SP;87;
SP;162;
RN;42;
SP;16;
PR;181;
RS;79;
PR;38;
PR;315;
PR;120;
PR;354;
SC;60;
SC;65;
RS;500;
PR;144;
RS;186;
PR;214;
SP;36;
GO;56;
AL;30;
RJ;14;
MT;30;
SP;40;
MG;36;
PR;102;
SC;83;
PR;203;
PR;154;
PR;82;
SC;157;
RJ;65;
GO;28;
RS;16;
GO;130;
GO;13;
SP;18;
RS;186;
RS;80;
RS;150;
SC;82;
PR;153;
RS;100;
PR;273;
RS;20;
PR;232;
PR;70;
RS;37;
PR;80;
PR;9;
RS;78;
RN;10;
SP;29;
RS;45;
RS;327;
GO;75;
GO;20;
RJ;1;
PR;193;
PR;409;
PR;296;
PR;190;
PR;60;
SC;20;
GO;120;
RS;36;
MA;12;
SP;29;
SP;44;
AM;53;
SP;88;
ES;170;
SC;11;
MG;50;
BA;40;
PA;139;
CE;34;
RS;24;
PR;30;
SC;99;
SC;24;
SC;486;
RS;252;
PR;60;
SC;177;
SC;105;
SC;56;
PR;450;
RS;83;
SC;42;
SC;8;
RS;50;
SC;98;
PR;92;
SC;99;
SC;210;
RS;26;
RS;26;
RS;23;
RS;200;
PR;211;
RS;150;
PR;100;
SC;172;
PB;97;
SP;40;
RJ;40;
RS;36;
SP;38;
PA;22;
SC;22;
RJ;25;
SP;49;
RS;268;
SP;16;
BA;16;
PI;12;
MT;184;
SC;135;
RS;100;
SC;42;
PR;160;
SC;295;
RS;130;
PR;328;
AL;44;
RS;20;
AM;22;
AL;24;
AL;16;
AL;35;
SP;30;
RS;80;
RS;250;
RS;220;
SC;58;
RS;30;
PR;330;
SC;394;
MG;15;
RN;82;
CE;259;
SC;41;
PR;60;
SP;84;
GO;10;
PR;140;
RS;312;
SC;96;
SC;40;
RS;319;
PR;272;
RS;30;
PR;99;
SC;240;
SC;160;
RS;160;
RS;40;
RS;74;
RS;42;
RJ;36;
BA;6;
BA;184;
BA;20;
RJ;67;
BA;24;
CE;13;
RS;176;
RS;88;
RS;124;
RS;40;
SC;110;
SC;280;
SP;15;
PR;96;
PA;2;
RJ;40;
SP;20;
GO;6;
MT;36;
PR;42;
PR;80;
PR;295;
PR;301;
PR;156;
SC;14;
BA;50;
PI;72;
RJ;13;
RJ;12;
RS;170;
GO;59;
BA;354;
PR;137;
RS;250;
PR;399;
PR;11;
PR;35;
SC;8;
RS;65;
PR;237;
SC;98;
PR;100;
PR;13;
SC;237;
PR;214;
PR;80;
SP;23;
RJ;20;
RJ;60;
RJ;31;
AM;74;
AL;14;
SC;85;
RS;100;
SC;63;
SC;116;
SC;26;
PR;276;
PR;30;
SC;315;
MG;10;
MG;120;
PB;45;
GO;210;
RJ;22;
PR;21;
PR;22;
PR;79;
PR;90;
PR;65;
PR;107;
RS;155;
RS;90;
SP;49;
CE;10;
SE;300;
RN;12;
CE;26;
AM;18;
CE;75;
RS;300;
RS;61;
SC;188;
RS;275;
PR;52;
PR;138;
PR;625;
SC;48;
RS;256;
RS;56;
SC;38;
SC;21;
SC;127;
SC;220;
BA;50;
AL;27;
MA;76;
MG;187;
PE;52;
PR;21;
RS;150;
PR;72;
SC;20;
RS;50;
PR;14;
SC;220;
SC;32;
RJ;37;
PR;180;
PE;30;
GO;15;
ES;170;
SP;105;
MA;220;
SC;33;
SP;50;
RJ;7;
SC;50;
AL;84;
BA;12;
RS;50;
SC;170;
RS;145;
RS;35;
PR;112;
PR;272;
PR;35;
PR;236;
SC;311;
PR;56;
PR;247;
SC;220;
SC;260;
SC;600;
SC;252;
PR;181;
SC;264;
SC;500;
SC;50;
RS;497;
MA;220;
SP;50;
SC;27;
SP;51;
PE;66;
RS;365;
SP;12;
RN;50;
SP;22;
PI;27;
CE;45;
SP;600;
CE;36;
SC;200;
RS;200;
PR;148;
RS;88;
PR;220;
SC;196;
PR;135;
RS;9;
SP;24;
PE;70;
PB;75;
SC;90;
SP;36;
MA;8;
SC;50;
PR;30;
RS;8;
RS;102;
SC;32;
RS;216;
RS;252;
PR;653;
RS;120;
PR;405;
PR;232;
SC;38;
RS;103;
PR;106;
PB;40;
CE;4;
RJ;48;
MG;130;
SP;364;
RJ;52;
BA;236;
PR;240;
RS;70;
RS;765;
SC;75;
SC;320;
SC;140;
RS;38;
GO;10;
GO;17;
SP;255;
BA;220;
MA;55;
MG;112;
MG;214;
SC;60;
SC;18;
SC;29;
RS;15;
SC;30;
RS;120;
PR;161;
RJ;36;
SC;22;
SP;97;
RJ;64;
SP;35;
RJ;6;
PE;81;
PR;70;
SC;236;
PR;260;
RS;144;
AL;35;
SE;72;
PE;25;
SC;380;
PR;112;
PR;560;
SC;160;
SC;52;
PR;266;
PR;202;
PR;148;
RS;348;
RS;144;
SC;160;
PR;332;
SP;26;
GO;25;
MG;234;
SP;26;
RJ;78;
SP;96;
AL;25;
PE;36;
CE;12;
DF;766;
RN;240;
GO;13;
GO;24;
CE;32;
PR;5;
RS;140;
PR;160;
RS;167;
RS;210;
SC;672;
PE;246;
RJ;32;
MT;24;
CE;32;
SP;20;
SP;50;
RS;242;
RS;48;
RS;55;
PE;290;
GO;93;
AM;86;
BA;10;
PR;20;
GO;12;
MG;106;
PE;80;
SP;42;
GO;16;
CE;26;
SP;692;
PR;179;
SC;60;
SC;85;
RS;44;
SC;12;
PR;118;
RS;60;
SC;22;
SC;135;
RS;409;
SC;53;
RS;90;
SC;7;
SC;104;
SC;90;
SP;44;
SP;65;
MG;20;
SP;70;
SC;134;
BA;44;
SC;300;
RS;39;
SC;22;
SC;67;
SC;160;
RS;40;
GO;5;
RJ;25;
AL;34;
SP;32;
SP;55;
GO;96;
GO;28;
BA;100;
RJ;52;
BA;22;
GO;30;
BA;71;
SP;63;
MG;15;
GO;10;
GO;104;
GO;103;
SP;6;
PR;121;
RS;130;
PR;169;
RS;308;
PR;280;
RS;133;
PR;50;
ES;20;
MG;162;
BA;174;
GO;20;
PR;360;
PR;36;
SC;182;
RS;28;
PR;84;
SC;227;
RS;60;
RS;178;
RS;38;
MG;40;
CE;40;
MG;54;
GO;40;
MG;88;
GO;25;
GO;12;
PR;147;
SC;279;
SC;450;
PR;105;
SC;149;
RS;30;
SC;92;
PE;8;
SC;500;
SP;250;
PA;115;
RJ;40;
RN;32;
BA;10;
SC;40;
RJ;22;
RJ;266;
RN;50;
PR;30;
SP;46;
RS;220;
SC;196;
RS;120;
RS;30;
RS;148;
RS;48;
RS;452;
GO;17;
MA;156;
SP;252;
SC;30;
RN;35;
GO;44;
TO;30;
SC;113;
PR;170;
PR;73;
PR;70;
PR;280;
PR;60;
PR;224;
RS;150;
RS;332;
RS;244;
SC;174;
GO;95;
RJ;95;
SP;360;
RJ;40;
CE;50;
SP;116;
RO;35;
MG;27;
MT;67;
DF;253;
SC;18;
MG;17;
BA;34;
GO;30;
MG;8;
CE;90;
AL;21;
RJ;68;
BA;14;
SP;59;
SP;164;
SC;108;
SC;7;
RS;200;
PR;125;
SC;180;
SC;165;
SC;120;
PR;237;
RJ;9;
GO;1222;
CE;30;
GO;8;
GO;1260;
PI;160;
SC;180;
SC;60;
SC;24;
SC;100;
SC;235;
PR;75;
SC;864;
MG;52;
ES;25;
SP;54;
SP;24;
SP;46;
RJ;32;
BA;48;
TO;22;
RJ;150;
PB;35;
PR;28;
CE;34;
MG;48;
PE;21;
RJ;115;
SC;106;
SC;90;
SP;151;
SP;240;
SC;71;
PA;60;
MG;20;
MG;620;
MG;220;
ES;40;
AM;21;
BA;84;
PR;82;
PR;170;
PR;60;
RS;128;
RJ;304;
RJ;65;
SP;55;
BA;18;
SP;118;
SP;130;
PR;80;
BA;296;
AL;29;
PR;138;
PR;114;
PR;68;
RS;12;
SC;48;
RS;220;
RN;35;
RJ;12;
AL;12;
GO;33;
SP;18;
RJ;16;
SP;50;
BA;200;
RN;245;
RJ;6;
MT;38;
SP;108;
PR;12;
MT;21;
BA;34;
PB;96;
BA;130;
GO;912;
SC;140;
PR;1024;
SC;20;
PE;27;
RN;70;
PB;230;
CE;260;
RS;307;
SC;40;
PE;33;
MG;96;
PI;43;
RJ;540;
RN;204;
ES;104;
MA;20;
AL;36;
PE;90;
GO;20;
BA;20;
SP;61;
SP;56;
SP;128;
PR;110;
PB;32;
CE;30;
GO;9;
RJ;44;
AL;3;
RS;50;
PR;45;
SC;39;
RS;66;
PR;32;
SC;15;
SC;34;
RJ;75;
SP;33;
PE;180;
MA;50;
AM;22;
SC;63;
RN;24;
RS;330;
RJ;10;
PE;225;
BA;20;
SP;746;
PE;39;
AL;350;
RJ;70;
SC;45;
PR;40;
SP;35;
SP;62;
PE;20;
SC;25;
PE;16;
SP;34;
SP;80;
RJ;4;
MG;404;
MG;68;
MG;34;
PE;10;
PE;52;
RS;72;
PR;14;
BA;24;
BA;30;
SP;26;
BA;250;
AL;55;
ES;15;
PE;125;
RJ;32;
RJ;40;
SC;36;
PI;29;
MG;240;
SC;24;
SP;10;
PR;526;
PR;56;
PR;270;
SC;301;
SC;215;
PR;76;
PR;72;
RS;20;
PR;16;
RJ;24;
SP;24;
RJ;90;
GO;139;
PA;43;
SP;552;
PR;79;
SC;32;
BA;30;
AM;40;
AM;38;
PR;440;
BA;64;
GO;65;
MG;10;
RJ;3;
RJ;22;
RS;290;
MG;20;
CE;317;
PA;59;
DF;108;
RJ;110;
PR;400;
SP;95;
SP;53;
GO;300;
AL;20;
GO;300;
SP;94;
SC;42;
RS;50;
SC;266;
SC;21;
MS;58;
GO;18;
GO;72;
MS;16;
RJ;32;
MT;33;
ES;30;
RJ;50;
MG;64;
SP;52;
SP;240;
MG;30;
RJ;12;
RN;34;
AL;16;
MG;14;
RJ;54;
PE;33;
SP;20;
MG;41;
SC;9;
AM;24;
RJ;60;
SC;75;
RJ;40;
BA;50;
RN;9;
GO;5;
SP;20;
RJ;20;
AL;59;
PA;20;
GO;95;
GO;20;
CE;35;
SP;54;
MG;158;
PR;38;
GO;40;
GO;90;
GO;143;
BA;20;
SC;32;
SC;164;
AL;16;
GO;36;
BA;64;
RN;60;
MG;75;
RJ;54;
ES;24;
RN;40;
RJ;24;
RJ;36;
SP;360;
MT;16;
MA;7;
RJ;35;
PR;115;
SP;54;
GO;33;
PB;42;
SP;50;
SP;19;
GO;74;
SC;30;
PR;230;
RS;3;
GO;40;
PR;394;
SC;247;
PB;70;
BA;65;
AL;76;
GO;8;
RS;60;
ES;36;
PB;28;
AL;39;
DF;46;
AL;54;
MG;12;
SP;53;
RJ;78;
PA;44;
RJ;60;
RJ;12;
SP;115;
ES;148;
RJ;50;
PB;77;
RJ;50;
RJ;40;
GO;92;
RJ;60;
SP;180;
GO;90;
GO;23;
RJ;50;
CE;22;
MG;9;
BA;22;
MS;20;
AL;40;
SP;40;
SC;28;
MG;67;
RJ;40;
RN;55;
AL;76;
SP;196;
SP;28;
SC;264;
MG;51;
AL;56;
BA;27;
RJ;26;
ES;32;
RS;267;
PR;33;
BA;31;
GO;20;
RJ;5;
SC;20;
SP;96;
MG;198;
DF;90;
RS;180;
RJ;10;
PA;30;
RJ;24;
MA;44;
SC;157;
DF;164;
DF;144;
RJ;14;
GO;15;
SP;24;
BA;22;
SP;52;
PR;506;
MG;12;
MG;72;
RS;108;
MG;3;
SP;28;
RJ;43;
MG;3;
RN;66;
PB;126;
RS;210;
SC;294;
AC;101;
RJ;90;
RJ;40;
RJ;40;
SP;72;
RJ;150;
SP;296;
SP;170;
PB;78;
RJ;756;
RS;220;
PR;65;
SC;110;
RJ;19;
SP;30;
RS;16;
MA;241;
RJ;104;
SC;30;
ES;28;
AM;92;
GO;20;
MG;15;
SP;60;
PB;28;
MG;10;
RJ;22;
BA;24;
RJ;48;
RJ;60;
PE;132;
CE;104;
SP;100;
SP;185;
SP;78;
GO;9;
GO;112;
MG;212;
RJ;12;
PE;14;
PA;70;
PA;579;
RJ;16;
SC;120;
MT;11;
SP;124;
AL;7;
PI;78;
RS;10;
ES;936;
RS;28;
RS;170;
RN;150;
RN;312;
DF;134;
SC;96;
RS;85;
BA;110;
RJ;38;
