UF;Leitos
SP;134
PE;133
BA;133
PR;133
MG;133
PA;133
RS;133
RS;133
RJ;133
MG;133
BA;132
RN;132
PI;132
MT;132
SP;132
RJ;132
SP;132
RJ;132
MG;132
SP;132
SP;132
MG;132
SP;132
SP;132
PR;132
MA;132
PE;132
RN;132
PR;132
MG;132
BA;132
MG;132
RS;132
PA;132
RJ;132
RN;131
SE;131
RJ;131
MG;131
RJ;131
AC;131
PE;131
SC;131
RJ;131
PB;130
CE;130
PE;130
PB;130
BA;130
AL;130
PI;130
MT;130
BA;130
PE;130
ES;130
RJ;130
ES;130
SP;130
MS;130
SP;130
RJ;130
RJ;130
RJ;130
SP;130
RR;130
SP;130
TO;130
RJ;130
SC;130
PR;130
ES;130
SP;130
PR;130
PR;130
PR;130
SC;130
SP;130
MG;130
PR;130
SC;130
MG;130
SP;130
AC;130
SC;130
SC;130
SC;130
BA;130
PR;130
TO;130
PR;130
RS;130
PR;130
SP;130
SP;130
BA;130
RS;130
RN;130
SP;130
CE;130
SP;130
RS;130
GO;130
CE;130
GO;130
SP;130
MG;130
AL;130
SC;130
CE;130
SC;130
MG;130
GO;130
MG;130
SP;130
PR;130
BA;130
GO;130
RJ;130
ES;130
PE;130
MG;130
MG;129
SP;129
MG;129
SC;129
SP;129
PB;129
RS;129
RS;129
SC;129
RJ;129
SC;129
MA;128
MS;128
MT;128
SP;128
MG;128
RJ;128
SP;128
SC;128
RJ;128
SP;128
PR;128
AC;128
SC;128
RS;128
PA;128
SC;128
RS;128
SP;128
SC;128
GO;128
MA;128
SC;128
MG;128
PR;128
GO;127
SC;127
SP;127
PA;127
RN;127
BA;127
BA;126
BA;126
BA;126
GO;126
MG;126
ES;126
RJ;126
RO;126
SP;126
SC;126
PB;126
RS;126
PR;126
MG;126
PR;126
GO;126
MG;126
BA;126
SP;126
PR;126
SP;126
SE;125
PB;125
PB;125
GO;125
SP;125
GO;125
RJ;125
GO;125
ES;125
MG;125
SP;125
PR;125
MG;125
RS;125
SP;125
SP;125
SC;125
PR;125
SP;125
SP;125
SC;125
PE;125
PE;125
PR;125
MG;125
MG;125
RS;125
SC;125
RJ;125
GO;125
PR;125
PA;125
DF;124
PE;124
PB;124
SP;124
RJ;124
MG;124
RJ;124
RJ;124
TO;124
PR;124
RS;124
SP;124
GO;124
RJ;124
PR;124
RS;124
SC;124
PI;123
CE;123
MS;123
MG;123
SP;123
MA;123
SP;123
SP;123
PR;123
MG;123
RS;123
RS;123
SP;123
CE;122
MS;122
MS;122
GO;122
SP;122
SP;122
MG;122
RJ;122
RS;122
SP;122
SC;122
AL;122
RJ;122
TO;122
DF;121
BA;121
SE;121
SP;121
RS;121
RO;121
SC;121
DF;120
BA;120
MA;120
PE;120
PE;120
AL;120
BA;120
BA;120
PB;120
BA;120
CE;120
PB;120
AL;120
RN;120
CE;120
RN;120
AL;120
BA;120
PB;120
CE;120
BA;120
SE;120
PB;120
BA;120
MS;120
BA;120
SP;120
GO;120
RJ;120
MS;120
CE;120
MS;120
SP;120
RJ;120
GO;120
MG;120
MG;120
RJ;120
GO;120
MA;120
MG;120
SP;120
MG;120
GO;120
RJ;120
SP;120
MG;120
SP;120
RJ;120
RJ;120
SP;120
SP;120
MG;120
SP;120
SP;120
RJ;120
SP;120
RJ;120
MG;120
RJ;120
RO;120
AC;120
TO;120
ES;120
RS;120
SP;120
SP;120
RJ;120
RJ;120
SP;120
SC;120
SP;120
MG;120
MG;120
SP;120
SP;120
PR;120
PR;120
RJ;120
MG;120
SP;120
RJ;120
SP;120
MG;120
PA;120
SP;120
BA;120
BA;120
AC;120
SC;120
SC;120
PR;120
PR;120
RS;120
SC;120
PI;120
PR;120
SC;120
RS;120
RS;120
SP;120
PR;120
RS;120
SC;120
RJ;120
SP;120
PA;120
MG;120
RS;120
BA;120
SC;120
SP;120
RS;120
PR;120
BA;120
SP;120
PR;120
RS;120
RS;120
RS;120
PR;120
SC;120
BA;120
SP;120
SP;120
RS;120
PE;120
SC;120
BA;120
RJ;120
SP;120
RJ;120
SP;120
AL;120
RS;120
TO;120
PB;120
RS;120
GO;120
SC;120
SC;120
SP;120
SP;120
RJ;120
SC;120
GO;120
PR;120
MG;120
ES;120
GO;120
MG;120
MG;120
SC;120
MG;120
BA;120
MG;120
SC;120
SP;120
SP;120
SC;120
BA;120
PE;120
RJ;120
MS;120
MA;119
PB;119
GO;119
SP;119
SP;119
PA;119
SP;119
SC;119
RO;119
PI;119
SP;119
CE;119
MG;119
PI;118
BA;118
SP;118
PR;118
PR;118
SP;118
SP;118
GO;118
RJ;118
RS;118
SP;118
RJ;118
BA;117
AL;117
MS;117
GO;117
MT;117
SP;117
SP;117
MS;117
AM;117
AL;116
SP;116
GO;116
SP;116
SP;116
MG;116
MG;116
SC;116
SP;116
SP;116
MG;116
BA;116
RS;116
SC;116
MA;116
MG;116
SP;116
MT;116
SP;116
MA;115
PB;115
PI;115
MS;115
MG;115
SP;115
MT;115
ES;115
PR;115
SP;115
SC;115
RS;115
SC;115
SC;115
SP;115
PR;115
RJ;115
MG;115
GO;115
RJ;115
GO;115
ES;115
SC;115
PR;115
AL;115
BA;114
CE;114
AL;114
PE;114
BA;114
MS;114
MT;114
MG;114
RJ;114
RJ;114
PR;114
MG;114
SP;114
SP;114
GO;114
PR;114
AM;114
SC;114
RJ;114
SC;114
RS;114
RJ;114
RJ;114
DF;113
PB;113
SE;113
RJ;113
SP;113
SP;113
GO;113
AP;113
RJ;113
SC;113
MG;113
PA;113
MG;113
SC;113
MG;113
MG;113
AL;112
ES;112
BA;112
RJ;112
RJ;112
SP;112
SP;112
RJ;112
AP;112
TO;112
RO;112
TO;112
PR;112
SP;112
RO;112
PR;112
RS;112
PR;112
RS;112
SC;112
MG;112
GO;112
RS;112
PE;112
CE;112
SP;112
SC;112
RJ;112
PR;112
RJ;112
BA;112
SP;112
RJ;112
RJ;112
RN;112
SC;112
AL;111
PB;111
SP;111
MG;111
SP;111
MG;111
GO;111
SP;111
MG;111
AM;111
SP;111
RJ;111
CE;111
GO;111
CE;110
BA;110
RN;110
SE;110
PE;110
BA;110
BA;110
MG;110
MG;110
MT;110
MG;110
GO;110
MS;110
MS;110
GO;110
MT;110
SP;110
MG;110
SP;110
SP;110
MG;110
SP;110
MG;110
SP;110
MG;110
SP;110
SP;110
PA;110
MG;110
PA;110
PA;110
SC;110
SC;110
RS;110
PR;110
RJ;110
SP;110
RJ;110
RJ;110
MG;110
SC;110
SP;110
ES;110
PA;110
RS;110
PR;110
RS;110
RS;110
RO;110
RJ;110
SC;110
SP;110
SC;110
PE;110
PR;110
GO;110
PR;110
SP;110
BA;110
SP;110
MG;110
SC;110
MG;110
BA;110
PR;110
MT;110
TO;110
RJ;110
SP;110
BA;110
SC;110
RJ;110
RJ;110
PE;110
SP;110
MG;110
SC;110
MT;110
MS;109
MS;109
RJ;109
MG;109
SC;109
AL;109
GO;109
MG;109
SP;109
DF;108
DF;108
PB;108
BA;108
PB;108
SE;108
AL;108
RJ;108
MG;108
ES;108
RJ;108
AC;108
PR;108
RJ;108
RJ;108
SP;108
SC;108
SP;108
PR;108
SC;108
AM;108
SC;108
PB;108
DF;108
GO;108
CE;108
PI;108
SC;108
SC;108
PR;108
RJ;108
SP;108
SC;108
SC;108
SC;108
PB;108
MG;108
MG;108
RS;108
GO;108
MG;108
AL;107
BA;107
AL;107
MS;107
BA;107
GO;107
PR;107
SC;107
PA;107
PR;107
PR;107
PR;107
SP;107
DF;106
CE;106
PB;106
AL;106
CE;106
BA;106
SE;106
BA;106
AL;106
MS;106
GO;106
MG;106
RJ;106
SC;106
RS;106
MG;106
MG;106
SC;106
AL;106
RS;106
PR;106
RS;106
GO;106
SP;106
PE;106
SP;106
MG;106
MG;106
SP;106
PE;105
CE;105
MT;105
SP;105
SP;105
MG;105
MG;105
SP;105
SP;105
PA;105
PR;105
SP;105
MG;105
SC;105
SP;105
RS;105
MG;105
SC;105
PR;105
SP;105
SC;105
SC;105
RS;105
PA;105
SP;105
RS;105
SP;105
PR;105
SP;105
MS;105
PB;104
PB;104
AL;104
BA;104
CE;104
PE;104
MT;104
AL;104
RJ;104
MT;104
RJ;104
SP;104
SP;104
MG;104
RJ;104
MG;104
SP;104
RJ;104
RJ;104
RS;104
MG;104
SP;104
PI;104
AC;104
MG;104
SP;104
SC;104
ES;104
CE;104
MG;104
RS;104
RS;104
ES;104
SC;104
RN;104
RJ;104
PR;104
MG;104
RS;104
SP;104
AL;104
CE;103
AL;103
AL;103
MG;103
RN;103
MS;103
RJ;103
SP;103
MG;103
SP;103
CE;103
PA;103
PA;103
RS;103
SC;103
SC;103
AL;103
MG;103
RS;103
RS;103
SP;103
MS;103
MS;103
CE;103
PI;102
CE;102
SP;102
RJ;102
SP;102
RS;102
MG;102
PA;102
RS;102
PR;102
PR;102
SC;102
PA;102
SC;102
SP;102
PR;102
MG;102
BA;102
SC;102
SP;102
RJ;102
SP;102
MT;102
MT;102
RS;102
MS;101
RN;101
RS;101
AC;101
DF;101
SC;101
PR;101
SP;101
DF;100
BA;100
AL;100
PB;100
PE;100
BA;100
BA;100
PI;100
BA;100
PB;100
MA;100
AL;100
CE;100
PB;100
PB;100
MS;100
MS;100
CE;100
CE;100
SP;100
RJ;100
RJ;100
GO;100
RJ;100
MS;100
GO;100
MT;100
RJ;100
SP;100
SP;100
MS;100
GO;100
SP;100
GO;100
GO;100
MT;100
SP;100
SP;100
ES;100
RJ;100
SP;100
RJ;100
RJ;100
PA;100
RJ;100
RJ;100
PR;100
SC;100
SP;100
ES;100
MG;100
BA;100
MG;100
SP;100
RJ;100
RJ;100
RJ;100
SP;100
MG;100
RJ;100
RJ;100
TO;100
SP;100
GO;100
RJ;100
TO;100
ES;100
TO;100
GO;100
RS;100
PR;100
RJ;100
RJ;100
RS;100
RS;100
RJ;100
RS;100
PR;100
RS;100
RS;100
SC;100
SP;100
AM;100
MS;100
RS;100
SP;100
GO;100
RJ;100
SP;100
PI;100
PR;100
SC;100
SP;100
BA;100
CE;100
SC;100
PR;100
PE;100
SP;100
SP;100
BA;100
PR;100
GO;100
SP;100
SP;100
SP;100
BA;100
SC;100
PE;100
BA;100
MG;100
RS;100
RJ;100
RJ;100
GO;100
BA;100
RJ;100
SP;100
GO;100
MG;100
SP;100
SP;100
BA;100
SC;100
SP;100
PE;100
RJ;100
GO;100
PE;100
RJ;100
ES;100
MG;100
BA;100
TO;100
GO;100
SC;100
SC;100
MS;100
ES;100
RS;100
SC;100
ES;100
PR;100
RS;100
RJ;100
SP;100
SP;100
MS;100
GO;100
SP;100
RJ;100
SP;100
MG;100
RN;100
SP;100
CE;100
BA;100
BA;99
RN;99
AL;99
BA;99
PE;99
PB;99
MA;99
GO;99
RJ;99
PR;99
PR;99
MG;99
SP;99
PA;99
SC;99
SC;99
PA;99
PA;99
MS;99
SP;99
RS;99
RN;99
MS;99
PR;99
MS;99
BA;99
SE;98
CE;98
BA;98
RN;98
GO;98
MS;98
RJ;98
RJ;98
MA;98
SC;98
RS;98
SP;98
PR;98
SP;98
SC;98
RJ;98
RJ;98
PR;98
PR;98
MG;98
MG;98
RS;98
BA;98
BA;98
RJ;98
SC;98
RJ;98
SP;98
CE;98
SC;98
RN;97
SP;97
MT;97
GO;97
AM;97
SP;97
TO;97
AM;97
SP;97
PE;97
RS;97
GO;97
SP;97
SP;97
SP;97
PB;97
SP;97
CE;96
BA;96
AL;96
RN;96
AL;96
BA;96
AL;96
BA;96
PI;96
RJ;96
GO;96
DF;96
GO;96
MG;96
MT;96
MS;96
GO;96
MG;96
RJ;96
SP;96
SP;96
SP;96
PA;96
MG;96
RJ;96
PR;96
ES;96
MG;96
PR;96
SC;96
RJ;96
RJ;96
MG;96
SC;96
SP;96
SP;96
RJ;96
SC;96
SC;96
SP;96
SC;96
MG;96
PA;96
PR;96
PB;96
SP;96
MG;96
BA;96
MG;96
SP;96
CE;96
PA;96
SP;96
SP;96
MG;96
RJ;96
PI;96
PE;96
RS;96
GO;96
BA;96
CE;96
CE;96
SP;96
AL;95
PE;95
MG;95
MG;95
RJ;95
MG;95
RJ;95
PA;95
TO;95
PR;95
SC;95
GO;95
SP;95
GO;95
SP;95
RJ;95
RS;95
SP;95
RJ;95
RN;95
SC;95
BA;95
SP;95
BA;95
PR;95
RJ;95
PR;95
BA;94
RN;94
BA;94
PE;94
MT;94
MG;94
RJ;94
SP;94
SP;94
RO;94
SP;94
SC;94
SP;94
PA;94
SC;94
SC;94
MT;94
RS;94
MG;94
RN;94
SP;94
CE;93
BA;93
BA;93
RJ;93
SP;93
AM;93
RJ;93
GO;93
SP;93
RJ;93
AM;93
RS;93
GO;93
PR;93
MT;93
SP;93
SC;93
MS;93
RS;93
RS;93
PB;92
BA;92
MA;92
SP;92
PB;92
SP;92
MS;92
MG;92
PI;92
TO;92
TO;92
SP;92
RJ;92
SP;92
ES;92
SC;92
BA;92
GO;92
PR;92
SC;92
SC;92
GO;92
RS;92
SC;92
SC;92
PR;92
AM;92
PR;92
SC;92
BA;92
BA;92
SC;92
MG;92
BA;91
MG;91
RS;91
PR;91
SC;91
AC;91
BA;91
SP;91
BA;91
CE;91
DF;90
PB;90
CE;90
BA;90
BA;90
BA;90
PB;90
AL;90
BA;90
AL;90
BA;90
CE;90
PB;90
PE;90
AL;90
PB;90
AL;90
PE;90
PB;90
MT;90
BA;90
BA;90
MS;90
MS;90
MT;90
MG;90
RJ;90
MS;90
SP;90
MS;90
MT;90
GO;90
RJ;90
MS;90
MT;90
MS;90
MG;90
MG;90
RJ;90
ES;90
MG;90
RJ;90
AC;90
SP;90
PA;90
SP;90
SP;90
AM;90
RS;90
SP;90
SP;90
SP;90
RS;90
RS;90
MG;90
SP;90
PR;90
RS;90
CE;90
SC;90
BA;90
SP;90
MG;90
SP;90
AM;90
MG;90
RO;90
SC;90
RJ;90
RJ;90
SP;90
BA;90
AP;90
AM;90
SP;90
RS;90
RS;90
SP;90
RS;90
MG;90
AC;90
SP;90
RS;90
MG;90
GO;90
RJ;90
CE;90
SC;90
SE;90
SC;90
SP;90
MG;90
RJ;90
SP;90
PR;90
PR;90
CE;90
SC;90
RJ;90
RS;90
SP;90
PR;90
SP;90
SC;90
RN;90
AL;90
ES;90
SP;90
SC;90
SP;90
MA;90
BA;90
DF;90
SP;90
SP;90
BA;90
ES;90
RJ;90
MG;90
MA;90
SC;90
BA;90
PE;90
BA;90
PR;90
RS;90
RJ;90
BA;90
GO;90
CE;90
AL;90
GO;90
RS;90
SP;90
BA;90
SP;90
RJ;90
PE;90
SP;90
MG;90
PR;90
RJ;90
RJ;90
RJ;90
SP;90
PA;90
SP;90
AL;90
SP;90
BA;90
TO;90
MG;90
SP;90
SP;90
MT;90
BA;90
RJ;90
MA;90
RN;90
MG;90
BA;90
SP;90
SP;90
MG;90
SC;90
SC;90
SP;90
BA;90
MG;90
PE;90
RN;90
SC;90
MS;90
RS;90
MG;90
ES;90
RJ;90
SC;90
BA;90
PR;90
BA;90
RJ;90
SP;90
RJ;90
RJ;90
SP;90
RJ;90
RJ;90
RJ;90
ES;90
SP;90
SP;90
AL;90
SP;90
CE;90
RS;90
SP;90
MG;90
PE;90
BA;90
BA;90
BA;90
PA;90
MG;90
PR;90
MG;90
PR;90
RJ;90
BA;90
PA;90
SP;90
SP;90
GO;90
SP;90
SC;90
RJ;90
MS;90
GO;90
MT;90
SP;90
PR;90
RN;90
GO;90
SP;90
RJ;90
RJ;90
BA;90
MA;90
RS;90
SP;90
SP;90
RS;90
BA;90
RJ;90
MG;90
RJ;90
MA;90
AL;89
PE;89
SP;89
RJ;89
RJ;89
RJ;89
SP;89
RS;89
MT;89
SC;89
SC;89
BA;89
PA;89
MT;89
BA;89
PE;88
PE;88
RN;88
AL;88
GO;88
RJ;88
MT;88
MS;88
MS;88
RJ;88
MG;88
SP;88
SP;88
RJ;88
MG;88
RJ;88
RJ;88
RO;88
PI;88
SP;88
MG;88
MG;88
PR;88
RS;88
AC;88
SP;88
PR;88
MG;88
BA;88
SC;88
RJ;88
SP;88
BA;88
RS;88
GO;88
BA;88
SC;88
BA;88
CE;88
MT;88
BA;88
SP;88
SP;88
SP;88
BA;88
SP;88
RS;88
MG;88
PA;88
TO;88
SC;88
MG;88
PB;87
CE;87
AL;87
MS;87
PE;87
MG;87
GO;87
MS;87
SP;87
AM;87
RN;87
MG;87
SP;87
ES;87
BA;87
RS;87
BA;87
BA;87
CE;87
SC;87
MG;87
SP;87
SP;87
PA;87
RJ;87
MT;87
BA;87
BA;86
BA;86
CE;86
MT;86
RJ;86
SP;86
MG;86
PR;86
AM;86
MG;86
AM;86
BA;86
PR;86
BA;86
RS;86
RJ;86
RJ;86
SP;86
BA;86
RN;86
GO;86
GO;86
GO;86
RJ;86
BA;86
MG;86
SP;86
PE;86
MS;86
BA;85
PE;85
MG;85
MS;85
GO;85
RJ;85
MG;85
SP;85
SP;85
RJ;85
AM;85
SC;85
MG;85
SE;85
RS;85
AC;85
MG;85
GO;85
PA;85
RS;85
SP;85
BA;85
SC;85
MT;85
RJ;85
MG;85
PE;85
SP;85
RS;85
PR;85
SP;85
SC;85
GO;85
RJ;85
BA;85
RR;85
BA;85
MG;85
SC;85
SC;85
RJ;85
SP;85
SC;85
BA;84
CE;84
PE;84
BA;84
MA;84
MS;84
MS;84
PB;84
MA;84
MG;84
RJ;84
RJ;84
SP;84
PA;84
RJ;84
MG;84
PA;84
AC;84
RO;84
BA;84
RJ;84
SP;84
PR;84
RJ;84
RJ;84
PR;84
SP;84
SP;84
GO;84
MG;84
RN;84
MG;84
SP;84
RJ;84
SP;84
RS;84
RJ;84
RJ;84
SC;84
MA;84
SP;84
SC;84
ES;84
GO;84
AL;84
SP;84
BA;84
RN;84
ES;84
SC;84
RN;84
RS;84
RN;83
RJ;83
MT;83
MT;83
SP;83
GO;83
SE;83
RJ;83
SP;83
RS;83
SC;83
RS;83
SP;83
BA;83
SP;83
PR;83
RS;83
PR;83
RJ;83
SP;83
BA;82
PE;82
CE;82
MS;82
SP;82
RJ;82
MG;82
SC;82
PR;82
SP;82
GO;82
RJ;82
SP;82
SP;82
MA;82
AM;82
SC;82
SC;82
PR;82
PR;82
SE;82
RN;82
SP;82
PA;82
PR;82
MG;82
RS;82
PE;82
PE;82
SC;82
SC;82
MG;82
RJ;82
RJ;82
RS;82
SC;82
MG;82
SC;82
MG;82
PA;82
PR;82
RJ;82
PR;82
BA;82
BA;82
CE;82
PA;82
SP;82
ES;82
SP;82
AL;81
AL;81
BA;81
BA;81
BA;81
MG;81
MG;81
SP;81
PA;81
PA;81
GO;81
MT;81
SC;81
PR;81
PR;81
MG;81
SC;81
MG;81
CE;81
PR;81
BA;81
ES;81
PE;81
SC;81
MG;81
BA;81
PI;80
BA;80
PE;80
AL;80
BA;80
PE;80
PB;80
CE;80
BA;80
AL;80
AL;80
BA;80
CE;80
BA;80
BA;80
CE;80
CE;80
AL;80
PE;80
PI;80
PB;80
CE;80
BA;80
BA;80
BA;80
AL;80
AL;80
PB;80
SE;80
MS;80
BA;80
GO;80
MS;80
AL;80
MS;80
MA;80
MG;80
RJ;80
MG;80
SP;80
SP;80
CE;80
ES;80
MS;80
GO;80
CE;80
MT;80
MT;80
MS;80
MG;80
MS;80
SP;80
MG;80
SP;80
SP;80
MG;80
ES;80
MG;80
MS;80
GO;80
GO;80
RJ;80
SP;80
ES;80
MG;80
SP;80
MG;80
ES;80
RJ;80
AM;80
RJ;80
RR;80
RJ;80
MG;80
AL;80
RJ;80
AM;80
RJ;80
SP;80
ES;80
PR;80
RS;80
PR;80
SP;80
RS;80
RS;80
RJ;80
SC;80
MG;80
PR;80
MG;80
ES;80
SP;80
RS;80
RJ;80
SP;80
RJ;80
SP;80
MG;80
GO;80
SP;80
MG;80
RJ;80
ES;80
MG;80
RS;80
RN;80
AC;80
TO;80
SP;80
SP;80
GO;80
BA;80
SP;80
SC;80
PI;80
SC;80
BA;80
SP;80
BA;80
PR;80
RS;80
RS;80
RS;80
AM;80
PR;80
BA;80
AC;80
PR;80
MT;80
PA;80
RS;80
BA;80
AM;80
SE;80
RS;80
MG;80
TO;80
RJ;80
SC;80
RS;80
RJ;80
SP;80
PR;80
SC;80
RJ;80
SC;80
PR;80
SP;80
PR;80
RJ;80
GO;80
BA;80
PA;80
SC;80
BA;80
BA;80
SP;80
BA;80
RS;80
AL;80
ES;80
MG;80
RJ;80
PR;80
RN;80
SP;80
MS;80
MG;80
PE;80
PB;80
PE;80
SP;80
ES;80
BA;80
MG;80
SE;80
GO;80
MT;80
RS;80
RJ;80
PR;80
RS;80
GO;80
GO;80
BA;80
CE;80
MG;80
SP;80
BA;80
SC;80
SC;80
MG;80
RJ;80
BA;80
BA;80
MG;80
SP;80
ES;80
MG;80
GO;80
MG;80
SP;80
CE;80
AM;80
SE;80
SP;80
MG;80
SP;80
SC;80
MG;80
SP;80
SP;80
PR;80
SP;80
PE;80
SP;80
SC;80
CE;80
PR;80
BA;80
PE;80
PB;80
SP;80
BA;80
PB;80
CE;79
GO;79
GO;79
RJ;79
SP;79
SP;79
GO;79
RJ;79
RJ;79
RJ;79
PR;79
SP;79
SP;79
SC;79
RS;79
PR;79
RS;79
MG;79
SP;79
RJ;79
RO;79
PE;79
MA;78
PE;78
BA;78
MA;78
BA;78
AL;78
AL;78
AL;78
AL;78
PB;78
MS;78
MS;78
BA;78
RJ;78
SP;78
RJ;78
GO;78
MG;78
SP;78
RO;78
AC;78
RJ;78
SP;78
SC;78
RS;78
RJ;78
SP;78
MG;78
MS;78
PB;78
ES;78
AC;78
SP;78
AP;78
ES;78
AC;78
SP;78
RS;78
AM;78
RJ;78
RJ;78
RJ;78
SP;78
PI;78
CE;78
SP;78
SP;78
AM;78
SP;78
SP;78
AM;78
PA;78
AP;78
PE;78
RJ;78
RS;78
AL;78
SP;78
MA;78
AL;78
SP;78
PE;78
MG;78
RJ;78
CE;78
PR;78
BA;77
BA;77
MA;77
PI;77
PE;77
PR;77
SP;77
AM;77
CE;77
MG;77
SP;77
SC;77
SP;77
SC;77
PB;77
GO;77
PE;77
CE;77
BA;77
SP;77
SC;77
SP;77
SC;77
BA;77
MG;77
MS;77
CE;76
RN;76
AL;76
CE;76
MS;76
MS;76
GO;76
MS;76
GO;76
SP;76
RJ;76
SP;76
SP;76
ES;76
SP;76
SP;76
RJ;76
RJ;76
SP;76
SC;76
MG;76
MG;76
RS;76
SP;76
RJ;76
SP;76
PA;76
SP;76
PA;76
AC;76
PR;76
SC;76
AC;76
AM;76
GO;76
PR;76
AL;76
SP;76
SC;76
SC;76
SC;76
GO;76
PE;76
MG;76
SP;76
MG;76
BA;76
MA;76
AL;76
MA;76
PE;76
SP;76
CE;75
BA;75
AL;75
PE;75
RN;75
PB;75
PE;75
CE;75
CE;75
SE;75
PB;75
GO;75
MS;75
SE;75
MS;75
AL;75
AL;75
BA;75
MT;75
MS;75
MT;75
MT;75
SP;75
TO;75
RJ;75
RJ;75
SP;75
RJ;75
AC;75
AM;75
RJ;75
RJ;75
AM;75
RS;75
SC;75
BA;75
SC;75
PR;75
RS;75
MG;75
RJ;75
SC;75
CE;75
PB;75
SP;75
SP;75
CE;75
SP;75
AM;75
SC;75
RJ;75
MT;75
ES;75
GO;75
GO;75
SE;75
SP;75
PB;75
RS;75
ES;75
BA;75
MT;75
SP;75
MT;75
BA;75
RO;75
RJ;75
AM;75
CE;75
MT;75
RS;75
SP;75
BA;75
SP;75
PE;75
CE;75
RS;75
SC;75
RO;75
CE;74
BA;74
PE;74
CE;74
AL;74
GO;74
SP;74
RS;74
SP;74
SP;74
GO;74
SP;74
AC;74
RS;74
RS;74
AM;74
PR;74
RJ;74
SC;74
SP;74
SC;74
RS;74
GO;74
PA;74
MG;74
MG;74
SP;74
RS;74
BA;74
SP;74
RJ;74
BA;74
PB;73
CE;73
BA;73
BA;73
MG;73
SP;73
SC;73
PR;73
CE;73
AC;73
PR;73
SP;73
TO;73
PI;73
RS;73
SC;73
RJ;73
RS;73
CE;73
SP;73
SP;73
PR;73
SP;73
SC;73
PI;73
SP;73
BA;72
CE;72
RN;72
CE;72
MA;72
BA;72
AL;72
PB;72
CE;72
PE;72
AL;72
SE;72
PB;72
CE;72
PE;72
CE;72
BA;72
MS;72
GO;72
MT;72
SP;72
SP;72
MS;72
RJ;72
SP;72
MT;72
SP;72
RJ;72
AC;72
SP;72
SP;72
SP;72
MG;72
PE;72
RJ;72
SP;72
SP;72
AP;72
PR;72
AC;72
GO;72
AC;72
CE;72
AC;72
RN;72
SP;72
RJ;72
SC;72
RN;72
RJ;72
SP;72
RS;72
SP;72
RN;72
PR;72
TO;72
PR;72
RJ;72
GO;72
RS;72
SC;72
CE;72
PR;72
RS;72
RS;72
PA;72
RS;72
SP;72
SP;72
SP;72
AL;72
PR;72
SC;72
RS;72
PR;72
RS;72
PB;72
SP;72
RJ;72
RJ;72
SP;72
SC;72
MG;72
RJ;72
AM;72
BA;72
RJ;72
SC;72
SP;72
PR;72
BA;72
SP;72
SC;72
MG;72
SC;72
SP;72
TO;72
RN;71
CE;71
MT;71
PE;71
RJ;71
MT;71
SP;71
SP;71
BA;71
SC;71
SP;71
RS;71
PR;71
AL;71
RJ;71
RJ;71
RS;71
PE;71
SP;71
RJ;71
BA;71
BA;71
BA;71
GO;71
DF;70
DF;70
BA;70
BA;70
CE;70
AL;70
BA;70
AL;70
BA;70
BA;70
BA;70
PE;70
BA;70
RN;70
BA;70
BA;70
BA;70
BA;70
GO;70
GO;70
BA;70
MA;70
MA;70
BA;70
RJ;70
ES;70
PE;70
MT;70
BA;70
SP;70
MS;70
MG;70
RJ;70
MS;70
SP;70
SP;70
RJ;70
PE;70
MG;70
SP;70
RJ;70
GO;70
GO;70
MG;70
MG;70
RJ;70
MG;70
RJ;70
MG;70
RJ;70
ES;70
SP;70
MT;70
SP;70
MG;70
RJ;70
SP;70
RJ;70
SP;70
RJ;70
RJ;70
SC;70
PR;70
PR;70
SP;70
MG;70
RS;70
RS;70
SC;70
SP;70
PR;70
RJ;70
SP;70
RJ;70
SP;70
SP;70
SP;70
AP;70
MG;70
SP;70
SP;70
PA;70
SP;70
AC;70
SP;70
SC;70
CE;70
MG;70
SP;70
RS;70
SC;70
PR;70
PA;70
RN;70
SP;70
SP;70
RS;70
TO;70
PR;70
PR;70
SP;70
RR;70
RN;70
SP;70
RJ;70
GO;70
PA;70
PB;70
PE;70
RS;70
SC;70
SC;70
SP;70
RS;70
MA;70
SC;70
TO;70
PA;70
PR;70
SC;70
BA;70
PI;70
RS;70
SC;70
RJ;70
SP;70
SE;70
RJ;70
PE;70
BA;70
MG;70
PE;70
RN;70
RJ;70
RJ;70
MG;70
BA;70
SC;70
MG;70
MG;70
AL;70
MS;70
TO;70
GO;70
SC;70
MA;70
PI;70
RN;70
AL;70
BA;70
SC;70
MG;70
MS;70
MA;70
RS;70
PR;70
RS;70
PB;70
ES;70
SC;70
SC;70
SP;70
SP;70
SP;70
TO;70
BA;70
BA;70
MG;70
CE;70
SP;70
GO;70
BA;70
BA;70
SP;70
RN;70
RS;70
SP;70
SC;70
SC;70
AM;70
SP;70
SC;70
ES;70
RJ;70
RS;70
SC;70
PR;70
SP;70
ES;70
SP;70
MG;70
MG;70
PR;70
MG;70
MG;70
PR;70
SP;70
MS;70
SP;70
AM;70
TO;70
SP;70
SP;70
RS;70
BA;70
RS;70
MG;70
RJ;70
SP;70
AL;69
CE;69
PB;69
PB;69
CE;69
BA;69
BA;69
BA;69
MG;69
SP;69
SP;69
RJ;69
AC;69
SP;69
SC;69
RJ;69
MG;69
MT;69
PR;69
RS;69
SP;69
SP;69
GO;69
RJ;69
SC;69
SP;69
MA;69
RN;69
BA;69
SP;69
AL;68
